project,target,configuration,hash,code,status,start,end
shared-ui,build,,13985799213343234009,0,success,1720512067061,1720512068781
shared-ui,build,,5028441631304681845,0,success,1720512238739,1720512240652
shared-ui,build,,5028441631304681845,0,local-cache-kept-existing,1720512246647,1720512246679
shared-ui,build,,5028441631304681845,0,local-cache,1720512276662,1720512276701
shared-ui,build,,2999500345768093328,0,success,1720512335303,1720512337087
shared-ui,build,,2999500345768093328,0,local-cache-kept-existing,1720512342631,1720512342666
shared-ui,build,,2999500345768093328,0,local-cache-kept-existing,1720512353571,1720512353608
shared-ui,build,,8123262435010309204,0,success,1720512443588,1720512445533
shared-ui,build,,9289857861986879260,0,success,1720512451405,1720512453307
shared-ui,build,,9353585019622446423,0,success,1720512465578,1720512467384
shared-ui,build,,9353585019622446423,0,local-cache-kept-existing,1720512496943,1720512496979
shared-ui,build,,6641631350829002141,0,success,1720512531905,1720512533686
shared-ui,build,,6641631350829002141,0,local-cache-kept-existing,1720512541695,1720512541733
shared-ui,build,,3507652907727005188,0,success,1720512743312,1720512745050
my-custom-features,build,,3488757228130263468,0,success,1720512948721,1720512949875
